,informant,start,end,filename,corpus,text,gender,age
020721_VIK1941_Razdorskaya-0-1560,Interviewer,0.0,1.56,audio_files/020721_VIK1941_Razdorskaya-0-1560.wav,standart,Родилась здесь? ,,
020721_VIK1941_Razdorskaya-1545-2779,VIK1941,1.545,2.779,audio_files/020721_VIK1941_Razdorskaya-1545-2779.wav,don_rnd,Конечно. ,,
020721_VIK1941_Razdorskaya-2710-4070,Interviewer,2.71,4.07,audio_files/020721_VIK1941_Razdorskaya-2710-4070.wav,standart,А родители? ,,
020721_VIK1941_Razdorskaya-4056-5180,VIK1941,4.056,5.18,audio_files/020721_VIK1941_Razdorskaya-4056-5180.wav,don_rnd,Здесь. ,,
020721_VIK1941_Razdorskaya-5204-6374,Interviewer,5.204,6.374,audio_files/020721_VIK1941_Razdorskaya-5204-6374.wav,standart,Тоже тутошние? ,,
020721_VIK1941_Razdorskaya-5920-8171,VIK1941,5.92,8.171,audio_files/020721_VIK1941_Razdorskaya-5920-8171.wav,don_rnd,"И прадеды, и деды, все тут. ",,
020721_VIK1941_Razdorskaya-8067-9488,Interviewer,8.067,9.488,audio_files/020721_VIK1941_Razdorskaya-8067-9488.wav,standart,Прадеды и деды? ,,
020721_VIK1941_Razdorskaya-9450-11691,VIK1941,9.45,11.691,audio_files/020721_VIK1941_Razdorskaya-9450-11691.wav,don_rnd,"Все тут, все. Все тут. ",,
020721_VIK1941_Razdorskaya-11670-13727,Interviewer,11.67,13.727,audio_files/020721_VIK1941_Razdorskaya-11670-13727.wav,standart,Про деда что-нибудь вспомните? ,,
020721_VIK1941_Razdorskaya-13695-17430,VIK1941,13.695,17.43,audio_files/020721_VIK1941_Razdorskaya-13695-17430.wav,don_rnd,"Про деда? Дедушка у нас умный был, хороший был.  ",,
020721_VIK1941_Razdorskaya-17430-22779,VIK1941,17.43,22.779,audio_files/020721_VIK1941_Razdorskaya-17430-22779.wav,don_rnd,"Ну он в войну сторожил, там вон амбары же были на горе, ",,
020721_VIK1941_Razdorskaya-22726-23862,Interviewer,22.726,23.862,audio_files/020721_VIK1941_Razdorskaya-22726-23862.wav,standart,На горе... ,,
020721_VIK1941_Razdorskaya-23802-25102,VIK1941,23.802,25.102,audio_files/020721_VIK1941_Razdorskaya-23802-25102.wav,don_rnd,вон там на буграх.  ,,
