,informant,start,end,filename,corpus,text,gender,age,age_group
Keba_KMV1919-3256173-3261665,KMV1919,3256.173,3261.665,audio_files/Keba_KMV1919-3256173-3261665.wav,keba,"и меня бы можно боле, и схватили бы меня, так схватки-то ревут: ""Отпустись! Отрубим
         снасть! ",,,
20180618_zii1932_a-2197467-2198257,зии1932,2197.467,2198.257,audio_files/20180618_zii1932_a-2197467-2198257.wav,opochka,пьяный.,,,
04072022_MLI1941_Melikhovskaya-1161091-1161621,Interviewer,1161.091,1161.621,audio_files/04072022_MLI1941_Melikhovskaya-1161091-1161621.wav,standart,Угу. ,,,
020721_VIK1941_Razdorskaya-1392602-1397783,VIK1941,1392.602,1397.783,audio_files/020721_VIK1941_Razdorskaya-1392602-1397783.wav,don_rnd,"Да прямо, нету, а как же нету, а чёрную икру откуда берут?  ",,,
Keba_KMV1919-558003-565626,KMV1919,558.003,565.626,audio_files/Keba_KMV1919-558003-565626.wav,keba,"да пироги пекли, да сковородники пекли, да хлебы катали из и= изо ржаной муки, те
         изо ржаной,  ",,,
20180618_zii1932_a-3914440-3915440,зии1932,3914.44,3915.44,audio_files/20180618_zii1932_a-3914440-3915440.wav,opochka,Ужас...,,,
020721_VIK1941_Razdorskaya-3081600-3088850,VIK1941,3081.6,3088.85,audio_files/020721_VIK1941_Razdorskaya-3081600-3088850.wav,don_rnd,"Лизавете надо дать, Зое надо дать. В общем, себе там остаётся нет-ничто.  ",,,
20180618_zii1932_a-6741676-6742851,зии1932,6741.676,6742.851,audio_files/20180618_zii1932_a-6741676-6742851.wav,opochka,в районе.,,,
Keba_MAS1916_2-3341641-3345256,MVG1911,3341.641,3345.256,audio_files/Keba_MAS1916_2-3341641-3345256.wav,keba,Вся жисть и вся сила пропала в лесе. ,,,
20180618_enm1930-2142540-2146864,енм1930,2142.54,2146.864,audio_files/20180618_enm1930-2142540-2146864.wav,opochka,Там всякая сброд привезён у него (йаво).,,,
Sib_04-m_54.26_56.27,Sib_04-m,54.26,56.27,./trimmed/Sib_04-m_54.26_56.27.wav,standart,"∙∙∙∙ Всё-о,",m,20.0,young
04072022_MLI1941_Melikhovskaya-34001-34640,Interviewer,34.001,34.64,audio_files/04072022_MLI1941_Melikhovskaya-34001-34640.wav,standart,Угу. ,,,
020721_VIK1941_Razdorskaya-2977885-2986294,Interviewer,2977.885,2986.294,audio_files/020721_VIK1941_Razdorskaya-2977885-2986294.wav,standart,Бабушка как замуж выходила? ,,,
04072022_MLI1941_Melikhovskaya-431490-432933,Interviewer,431.49,432.933,audio_files/04072022_MLI1941_Melikhovskaya-431490-432933.wav,standart,А как она выглядела? ,,,
04072022_TNG1957_Melikhovskaya-82880-89300,TNG1957,82.88,89.3,audio_files/04072022_TNG1957_Melikhovskaya-82880-89300.wav,don_rnd,"Ну вот, значит, когда несли приданое, пели песню. ",,,
20180618_enm1930-758745-768605,енм1930,758.745,768.605,audio_files/20180618_enm1930-758745-768605.wav,opochka,"Всякая работала - и коров доила, и свиней кормила, и в поле гонялась - кем только
      я не работала.",,,
Keba_MAS1916_2-1240951-1243568,MAS1916,1240.951,1243.568,audio_files/Keba_MAS1916_2-1240951-1243568.wav,keba,"Дак вот ишь: ""Ну чего, паскуда, делаешь?""  ",,,
Keba_MAS1916_2-1741976-1742858,MAS1916,1741.976,1742.858,audio_files/Keba_MAS1916_2-1741976-1742858.wav,keba,Посмотреть? ,,,
Keba_MAS1916_1-742777-747147,MAS1916,742.777,747.147,audio_files/Keba_MAS1916_1-742777-747147.wav,keba,Семён. Семён Иванович приехал свататься к ей. ,,,
Keba_KMV1919-3391232-3397540,KMV1919,3391.232,3397.54,audio_files/Keba_KMV1919-3391232-3397540.wav,keba,"Да, вот это в лесу, лесная промышленность, зимой вот лес заготовим, а весной вот плавим,
          ",,,
04072022_TNG1957_Melikhovskaya-5140639-5144873,TNG1957,5140.639,5144.873,audio_files/04072022_TNG1957_Melikhovskaya-5140639-5144873.wav,don_rnd,"Ой, да просто тут у них была очень красивая фотография. ",,,
20180618_zii1932_a-6123370-6124634,Interviewer,6123.37,6124.634,audio_files/20180618_zii1932_a-6123370-6124634.wav,standart,Нет.,,,
04072022_TNG1957_Melikhovskaya-789500-792750,TNG1957,789.5,792.75,audio_files/04072022_TNG1957_Melikhovskaya-789500-792750.wav,don_rnd,"Так, это уже жених приехал, сел. ",,,
20180618_zii1932_a-895826-896968,зии1932,895.826,896.968,audio_files/20180618_zii1932_a-895826-896968.wav,opochka,Пять лет.,,,
Keba_KMV1919-1469875-1475958,KMV1919,1469.875,1475.958,audio_files/Keba_KMV1919-1469875-1475958.wav,keba,"а это кавалер, на какого думаешь кавалера, дак вот на молодого парня - бубный валет,
          ",,,
20180618_enm1930-2011081-2019822,енм1930,2011.081,2019.822,audio_files/20180618_enm1930-2011081-2019822.wav,opochka,"Было засохши так, дня два прошёл дождь, а теперь, можно сказать, давно уже нет дождю
      (дожжу).",,,
20180618_zii1932_a-3037763-3039317,зии1932,3037.763,3039.317,audio_files/20180618_zii1932_a-3037763-3039317.wav,opochka,"Да, пешком вам ходить.",,,
20180618_zii1932_a-138402-141876,зии1932,138.402,141.876,audio_files/20180618_zii1932_a-138402-141876.wav,opochka,"Туда, сюда на работу на лошади.",,,
Keba_KMV1919-2415566-2425025,KMV1919,2415.566,2425.025,audio_files/Keba_KMV1919-2415566-2425025.wav,keba,"я раздела сапоги, Чёрный ворон располился на вот метров не знаю, уж сколько, а на
         серёдке-то дорога-то не растаяла,  ",,,
20180618_zii1932_a-1369659-1370978,зии1932,1369.659,1370.978,audio_files/20180618_zii1932_a-1369659-1370978.wav,opochka,"молодцы,",,,
Sib_16-m_63.78_64.86,Sib_16-m,63.78,64.86,./trimmed/Sib_16-m_63.78_64.86.wav,standart,"а-а ∙∙ по дере-евьям,,,",m,69.0,elderly
Keba_MAS1916_2-1292893-1302173,MAS1916,1292.893,1302.173,audio_files/Keba_MAS1916_2-1292893-1302173.wav,keba,"она боле опять ушла, ушла от его, и пришла домой, и больше братья говорят: ""Боле не
         ходи."" - ""Не пойду, не пойду.""   ",,,
04072022_TNG1957_Melikhovskaya-391635-393885,TNG1957,391.635,393.885,audio_files/04072022_TNG1957_Melikhovskaya-391635-393885.wav,don_rnd,"Я же потом пришла, а мне же говорит. ",,,
Keba_KMV1919-3301531-3312870,KMV1919,3301.531,3312.87,audio_files/Keba_KMV1919-3301531-3312870.wav,keba,"потом пониже из нашей бригады мужик: ""Маша, ты идёшь?"" Я говорю, я. - ""Да где паром-то?""
         - ""Паром тут!"" - ""Дак поди на мой-то паром. Дак, бат, заскочишь. ",,,
Keba_MAS1916_2-2033565-2043410,MAS1916,2033.565,2043.41,audio_files/Keba_MAS1916_2-2033565-2043410.wav,keba,"Через= через Кебу-то речку, через Кебу речку; там избушки стоят, будки, дак только
         те не заливало, а которые выше по крежу, те все заливало.  ",,,
